,ID,Q,Rating,Ctype,CtypeT,CtypeC,Anim,Cpair
1,1,1,7,PhsH,TransH,Csl,ivs,caus
2,1,2,4,PhsH,TransH,Csl,ivs,caus
3,1,3,7,PhsH,TransH,Csl,base,caus
4,1,4,7,PhsH,TransH,Csl,base,caus
5,1,5,7,PhsH,TransH,Csl,ivs,base
6,1,6,7,PhsH,TransH,Csl,ivs,base
7,1,7,4,PhsH,TransH,Csl,base,base
8,1,8,7,PhsH,TransH,Csl,base,base
9,1,9,4,PhsL,TransL,Csl,ivs,caus
10,1,10,4,PhsL,TransL,Csl,ivs,caus
11,1,11,7,PhsL,TransL,Csl,base,caus
12,1,12,4,PhsL,TransL,Csl,base,caus
13,1,13,7,PhsL,TransL,Csl,ivs,base
14,1,14,7,PhsL,TransL,Csl,ivs,base
15,1,15,7,PhsL,TransL,Csl,base,base
16,1,16,7,PhsL,TransL,Csl,base,base
17,1,17,7,Aff,TransL,Csl,ivs,caus
18,1,18,7,Aff,TransL,Csl,ivs,caus
19,1,19,7,Aff,TransL,Csl,ivs,base
20,1,20,7,Aff,TransL,Csl,ivs,base
21,1,21,7,Loc,TransL,NCsl,ivs,caus
22,1,22,7,Loc,TransL,NCsl,ivs,caus
23,1,23,7,Loc,TransL,NCsl,base,caus
24,1,24,7,Loc,TransL,NCsl,base,caus
25,1,25,7,Loc,TransL,NCsl,ivs,base
26,1,26,7,Loc,TransL,NCsl,ivs,base
27,1,27,7,Loc,TransL,NCsl,base,base
28,1,28,7,Loc,TransL,NCsl,base,base
29,1,29,4,Poss,TransL,NCsl,ivs,caus
30,1,30,7,Poss,TransL,NCsl,ivs,caus
31,1,31,7,Poss,TransL,NCsl,base,caus
32,1,32,7,Poss,TransL,NCsl,base,caus
33,1,33,7,Poss,TransL,NCsl,ivs,base
34,1,34,7,Poss,TransL,NCsl,ivs,base
35,1,35,7,Poss,TransL,NCsl,base,base
36,1,36,7,Poss,TransL,NCsl,base,base
37,2,1,7,PhsH,TransH,Csl,ivs,caus
38,2,2,7,PhsH,TransH,Csl,ivs,caus
39,2,3,7,PhsH,TransH,Csl,base,caus
40,2,4,4,PhsH,TransH,Csl,base,caus
41,2,5,7,PhsH,TransH,Csl,ivs,base
42,2,6,7,PhsH,TransH,Csl,ivs,base
43,2,7,7,PhsH,TransH,Csl,base,base
44,2,8,7,PhsH,TransH,Csl,base,base
45,2,9,4,PhsL,TransL,Csl,ivs,caus
46,2,10,7,PhsL,TransL,Csl,ivs,caus
47,2,11,7,PhsL,TransL,Csl,base,caus
48,2,12,4,PhsL,TransL,Csl,base,caus
49,2,13,7,PhsL,TransL,Csl,ivs,base
50,2,14,5,PhsL,TransL,Csl,ivs,base
51,2,15,7,PhsL,TransL,Csl,base,base
52,2,16,7,PhsL,TransL,Csl,base,base
53,2,17,7,Aff,TransL,Csl,ivs,caus
54,2,18,7,Aff,TransL,Csl,ivs,caus
55,2,19,7,Aff,TransL,Csl,ivs,base
56,2,20,7,Aff,TransL,Csl,ivs,base
57,2,21,7,Loc,TransL,NCsl,ivs,caus
58,2,22,7,Loc,TransL,NCsl,ivs,caus
59,2,23,7,Loc,TransL,NCsl,base,caus
60,2,24,7,Loc,TransL,NCsl,base,caus
61,2,25,7,Loc,TransL,NCsl,ivs,base
62,2,26,7,Loc,TransL,NCsl,ivs,base
63,2,27,7,Loc,TransL,NCsl,base,base
64,2,28,7,Loc,TransL,NCsl,base,base
65,2,29,7,Poss,TransL,NCsl,ivs,caus
66,2,30,7,Poss,TransL,NCsl,ivs,caus
67,2,31,7,Poss,TransL,NCsl,base,caus
68,2,32,7,Poss,TransL,NCsl,base,caus
69,2,33,7,Poss,TransL,NCsl,ivs,base
70,2,34,7,Poss,TransL,NCsl,ivs,base
71,2,35,7,Poss,TransL,NCsl,base,base
